Name,Publisher,Year,Global_Sales
Wii Sports,Nintendo,2006,82.74
Super Mario Bros.,Nintendo,1985,40.24
Mario Kart Wii,Nintendo,2008,35.82
Wii Sports Resort,Nintendo,2009,33
Pokemon Red/Pokemon Blue,Nintendo,1996,31.37
Tetris,Nintendo,1989,30.26
New Super Mario Bros.,Nintendo,2006,30.01
Wii Play,Nintendo,2006,29.02
New Super Mario Bros. Wii,Nintendo,2009,28.62
Duck Hunt,Nintendo,1984,28.31
Nintendogs,Nintendo,2005,24.76
Mario Kart DS,Nintendo,2005,23.42
Pokemon Gold/Pokemon Silver,Nintendo,1999,23.1
Wii Fit,Nintendo,2007,22.72
Wii Fit Plus,Nintendo,2009,22
Kinect Adventures!,Microsoft Game Studios,2010,21.82
Grand Theft Auto V,Take-Two Interactive,2013,21.4
Grand Theft Auto: San Andreas,Take-Two Interactive,2004,20.81
Super Mario World,Nintendo,1990,20.61
Brain Age: Train Your Brain in Minutes a Day,Nintendo,2005,20.22
Pokemon Diamond/Pokemon Pearl,Nintendo,2006,18.36
Super Mario Land,Nintendo,1989,18.14
Super Mario Bros. 3,Nintendo,1988,17.28
Grand Theft Auto V,Take-Two Interactive,2013,16.38
Grand Theft Auto: Vice City,Take-Two Interactive,2002,16.15
Pokemon Ruby/Pokemon Sapphire,Nintendo,2002,15.85
Pokemon Black/Pokemon White,Nintendo,2010,15.32
Brain Age 2: More Training in Minutes a Day,Nintendo,2005,15.3
Gran Turismo 3: A-Spec,Sony Computer Entertainment,2001,14.98
Call of Duty: Modern Warfare 3,Activision,2011,14.76
Pokémon Yellow: Special Pikachu Edition,Nintendo,1998,14.64
Call of Duty: Black Ops,Activision,2010,14.64
Pokemon X/Pokemon Y,Nintendo,2013,14.35
Call of Duty: Black Ops 3,Activision,2015,14.24
Call of Duty: Black Ops II,Activision,2012,14.03
Call of Duty: Black Ops II,Activision,2012,13.73
Call of Duty: Modern Warfare 2,Activision,2009,13.51
Call of Duty: Modern Warfare 3,Activision,2011,13.46
Grand Theft Auto III,Take-Two Interactive,2001,13.1
Super Smash Bros. Brawl,Nintendo,2008,13.04
Call of Duty: Black Ops,Activision,2010,12.73
Animal Crossing: Wild World,Nintendo,2005,12.27
Mario Kart 7,Nintendo,2011,12.21
Halo 3,Microsoft Game Studios,2007,12.14
Grand Theft Auto V,Take-Two Interactive,2014,11.98
Pokemon HeartGold/Pokemon SoulSilver,Nintendo,2009,11.9
Super Mario 64,Nintendo,1996,11.89
Gran Turismo 4,Sony Computer Entertainment,2004,11.66
Super Mario Galaxy,Nintendo,2007,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,2014,11.33
Super Mario Land 2: 6 Golden Coins,Nintendo,1992,11.18
Grand Theft Auto IV,Take-Two Interactive,2008,11.02
Gran Turismo,Sony Computer Entertainment,1997,10.95
Super Mario 3D Land,Nintendo,2011,10.79
Gran Turismo 5,Sony Computer Entertainment,2010,10.77
Call of Duty: Modern Warfare 2,Activision,2009,10.69
Grand Theft Auto IV,Take-Two Interactive,2008,10.57
Super Mario All-Stars,Nintendo,1993,10.55
Pokemon FireRed/Pokemon LeafGreen,Nintendo,2004,10.49
Super Mario 64,Nintendo,2004,10.42
Just Dance 3,Ubisoft,2011,10.26
